timestamp,algorithm,message,message_length_chars,original_bits,encoded_bits,overhead_bits,overhead_percentage,error_mode,error_probability,forced_bit,flipped_bits,status,message_recovered,elapsed_ms,request_algorithm,response_algorithm,request_flipped_bits,response_flipped_bits,request_recovered,response_recovered,request_status,response_status,round_trip_ms
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.000100,0,0,ok,true,1.551,HAMMING,HAMMING,0,0,true,true,ok,ok,1.551
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.000100,0,0,ok,true,3.018,HAMMING,HAMMING,0,0,true,true,ok,ok,3.018
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.000100,0,0,ok,true,2.366,HAMMING,HAMMING,0,0,true,true,ok,ok,2.366
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.000100,0,0,ok,true,2.512,HAMMING,HAMMING,0,0,true,true,ok,ok,2.512
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.000100,0,0,ok,true,2.687,HAMMING,HAMMING,0,0,true,true,ok,ok,2.687
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.000100,0,0,ok,true,1.555,HAMMING,HAMMING,0,0,true,true,ok,ok,1.555
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.000100,0,0,ok,true,3.659,HAMMING,HAMMING,0,0,true,true,ok,ok,3.659
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.000100,0,0,ok,true,2.549,HAMMING,HAMMING,0,0,true,true,ok,ok,2.549
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.000100,0,0,ok,true,2.585,HAMMING,HAMMING,0,0,true,true,ok,ok,2.585
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.000100,0,0,ok,true,2.574,HAMMING,HAMMING,0,0,true,true,ok,ok,2.574
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.000100,0,0,ok,true,2.638,HAMMING,HAMMING,0,0,true,true,ok,ok,2.638
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.000100,0,0,ok,true,2.549,HAMMING,HAMMING,0,0,true,true,ok,ok,2.549
2026-08-05T11:36:25-06:00,HAMMING,AAAAAAAA,8,64,96,32,50.0000,random,0.000100,0,0,ok,true,2.589,HAMMING,HAMMING,0,0,true,true,ok,ok,2.589
